Energy [MeV]	sigma_case0_p0	sigma_case0_p1	sigma_case0_p2	sigma_case0_p3	sigma_case1_p0	sigma_case1_p1	sigma_case1_p2	sigma_case1_p3	sigma_case2_p0	sigma_case2_p1	sigma_case2_p2	sigma_case2_p3	sigma_case3_p0	sigma_case3_p1	sigma_case4_p0	sigma_case4_p1	sigma_case5_p0	sigma_case5_p1	sigma_case6_p0	sigma_case6_p1	sigma_case7_p0	sigma_case7_p1	sigma_case7_p2	sigma_case7_p3	sigma_case8_p0	sigma_case8_p1	sigma_case8_p2	sigma_case8_p3	sigma_case9_p0	sigma_case9_p1	sigma_case10_p0	sigma_case10_p1  [cm^-2]
150.0	1.36528e-40	2.99766e-41	3.08642e-41	3.01856e-41	4.69085e-41	1.4394e-41	1.50184e-41	1.46527e-41	-4.91937e-41	-1.00129e-41	-1.07033e-41	-1.02297e-41	1.89239e-41	3.33829e-42	-1.19415e-41	-2.89134e-42	2.0982e-41	3.58086e-42	-1.25788e-41	-2.99621e-42	2.69417e-39	5.02398e-40	5.52927e-40	5.08766e-40	-6.38225e-41	-1.68883e-41	-1.81008e-41	-1.69751e-41	4.82088e-41	1.35074e-41	-4.77072e-41	-1.10511e-41
200.0	6.7673e-40	3.70889e-40	3.89875e-40	3.75389e-40	1.5485e-40	1.31001e-40	1.39029e-40	1.32805e-40	-1.83693e-40	-1.01652e-40	-1.13916e-40	-1.0418e-40	7.83865e-41	3.64816e-41	-3.67796e-41	-2.40173e-41	9.47707e-41	4.22143e-41	-4.00048e-41	-2.55431e-41	8.3214e-39	4.54142e-39	5.13585e-39	4.60744e-39	-1.06293e-40	-8.7271e-41	-9.58333e-41	-8.842e-41	2.12196e-40	1.47159e-40	-1.53783e-40	-9.36129e-41
250.0	1.30976e-39	9.08003e-40	9.69772e-40	9.17566e-40	2.64951e-40	2.59481e-40	2.82301e-40	2.63382e-40	-2.68087e-40	-1.9186e-40	-2.34657e-40	-1.99279e-40	1.27729e-40	7.86645e-41	-5.31973e-41	-4.19215e-41	1.66985e-40	9.87902e-41	-5.96032e-41	-4.60116e-41	1.07361e-38	7.54579e-39	8.94733e-39	7.68533e-39	-1.01192e-40	-9.99139e-41	-1.12212e-40	-1.01423e-40	4.28278e-40	3.44065e-40	-2.28619e-40	-1.69874e-40
300.0	1.89427e-39	1.46899e-39	1.59824e-39	1.48954e-39	3.70652e-40	3.75313e-40	4.15013e-40	3.82032e-40	-2.97252e-40	-2.41229e-40	-3.2682e-40	-2.5299e-40	1.61437e-40	1.13542e-40	-6.18803e-41	-5.29538e-41	2.28977e-40	1.55575e-40	-7.15035e-41	-5.98485e-41	1.1054e-38	8.70093e-39	1.0826e-38	8.85899e-39	-8.56033e-41	-8.95786e-41	-1.03078e-40	-9.08855e-41	6.60611e-40	5.68753e-40	-2.72871e-40	-2.20933e-40
400.0	2.8656e-39	2.47297e-39	2.78655e-39	2.50105e-39	5.77193e-40	5.91055e-40	6.66779e-40	5.99097e-40	-2.59766e-40	-2.42565e-40	-4.36132e-40	-2.60679e-40	1.97482e-40	1.58328e-40	-6.76522e-41	-6.23165e-41	3.33194e-40	2.58635e-40	-8.23358e-41	-7.43657e-41	9.66744e-39	8.49241e-39	1.15278e-38	8.67372e-39	-5.80164e-41	-6.39933e-41	-7.7568e-41	-6.4851e-41	1.13947e-39	1.04034e-39	-3.13307e-40	-2.76092e-40
500.0	3.54566e-39	3.22096e-39	3.73048e-39	3.26614e-39	7.79449e-40	7.95982e-40	9.02173e-40	8.03378e-40	-1.69219e-40	-1.75992e-40	-4.842e-40	-2.00654e-40	2.09586e-40	1.79821e-40	-6.62828e-41	-6.33267e-41	4.16566e-40	3.47928e-40	-8.45386e-41	-7.93488e-41	7.82884e-39	7.24992e-39	1.06927e-38	7.41015e-39	-4.00689e-41	-4.52949e-41	-5.80698e-41	-4.62169e-41	1.61961e-39	1.526e-39	-3.21636e-40	-2.95516e-40
600.0	4.00448e-39	3.73489e-39	4.43417e-39	3.77746e-39	9.6997e-40	9.82628e-40	1.11683e-39	9.95932e-40	-7.37944e-41	-8.99374e-41	-5.06072e-40	-1.18648e-40	2.07087e-40	1.85654e-40	-6.26726e-41	-6.09886e-41	4.85058e-40	4.22323e-40	-8.3078e-41	-7.94168e-41	6.2398e-39	5.97603e-39	9.46152e-39	6.12229e-39	-2.89759e-41	-3.30671e-41	-4.49833e-41	-3.36197e-41	2.08465e-39	1.995e-39	-3.15963e-40	-2.98041e-40
800.0	4.46299e-39	4.31039e-39	5.27442e-39	4.35327e-39	1.3195e-39	1.31898e-39	1.49913e-39	1.32918e-39	8.55545e-41	6.18898e-41	-5.24506e-40	2.92593e-41	1.86797e-40	1.75818e-40	-5.40995e-41	-5.35061e-41	5.81115e-40	5.34601e-40	-7.60686e-41	-7.42342e-41	4.08252e-39	4.03642e-39	7.08658e-39	4.12806e-39	-1.68076e-41	-1.949e-41	-2.9344e-41	-1.99574e-41	2.97896e-39	2.89741e-39	-2.92201e-40	-2.83843e-40
1000.0	4.64443e-39	4.52633e-39	5.70264e-39	4.57432e-39	1.61343e-39	1.59527e-39	1.83506e-39	1.61527e-39	1.94777e-40	1.7004e-40	-5.34914e-40	1.37469e-40	1.6115e-40	1.55764e-40	-4.65954e-41	-4.63741e-41	6.42635e-40	6.06835e-40	-6.79984e-41	-6.72884e-41	2.80002e-39	2.81635e-39	5.33597e-39	2.87976e-39	-1.08725e-41	-1.2759e-41	-2.06435e-41	-1.28645e-41	3.83027e-39	3.75673e-39	-2.64559e-40	-2.60134e-40
2000.0	4.61279e-39	4.52136e-39	5.97534e-39	4.56588e-39	2.49117e-39	2.43649e-39	2.91581e-39	2.46684e-39	4.00341e-40	3.77855e-40	-5.8414e-40	3.47625e-40	7.56659e-41	7.68578e-41	-2.6153e-41	-2.6475e-41	7.16304e-40	7.1605e-40	-4.23153e-41	-4.23912e-41	7.60726e-40	7.86573e-40	1.75566e-39	8.03164e-40	-2.74124e-42	-3.18129e-42	-6.39863e-42	-3.262e-42	7.84806e-39	7.8152e-39	-1.69666e-40	-1.70932e-40
