Energy [MeV]	sigma_case0_p0	sigma_case0_p1	sigma_case0_p2	sigma_case0_p3	sigma_case1_p0	sigma_case1_p1	sigma_case1_p2	sigma_case1_p3	sigma_case2_p0	sigma_case2_p1	sigma_case2_p2	sigma_case2_p3	sigma_case3_p0	sigma_case3_p1	sigma_case4_p0	sigma_case4_p1	sigma_case5_p0	sigma_case5_p1	sigma_case6_p0	sigma_case6_p1	sigma_case7_p0	sigma_case7_p1	sigma_case7_p2	sigma_case7_p3	sigma_case8_p0	sigma_case8_p1	sigma_case8_p2	sigma_case8_p3	sigma_case9_p0	sigma_case9_p1	sigma_case10_p0	sigma_case10_p1  [cm^-2]
150.0	4.45929e-41	1.1156e-41	1.15262e-41	1.11096e-41	4.45498e-41	1.11156e-41	1.1382e-41	1.11819e-41	-4.61189e-41	-7.7468e-42	-8.20072e-42	-7.88422e-42	1.76608e-41	2.53798e-42	1.13331e-41	2.21825e-42	1.9377e-41	2.74122e-42	1.18454e-41	2.2893e-42	2.52317e-39	3.93354e-40	4.24608e-40	3.91758e-40	6.20443e-41	1.29671e-41	1.38799e-41	1.31337e-41	4.50682e-41	1.03378e-41	2.39563e-41	5.32725e-42
200.0	1.50782e-40	1.23828e-40	1.30811e-40	1.25215e-40	1.50872e-40	1.23467e-40	1.30903e-40	1.25445e-40	-1.78869e-40	-9.56799e-41	-1.07251e-40	-9.79033e-41	7.63075e-41	3.43723e-41	3.59841e-41	2.27364e-41	9.1486e-41	3.96121e-41	3.91644e-41	2.41469e-41	8.17066e-39	4.30411e-39	4.85979e-39	4.3627e-39	1.05972e-40	8.33741e-41	9.20048e-41	8.44946e-41	2.05447e-40	1.37603e-40	6.12706e-41	4.78836e-41
250.0	2.60631e-40	2.52081e-40	2.72981e-40	2.54838e-40	2.60389e-40	2.52112e-40	2.7296e-40	2.56156e-40	-2.65282e-40	-1.87973e-40	-2.28387e-40	-1.94414e-40	1.25972e-40	7.64732e-41	5.25396e-41	4.09847e-41	1.63969e-40	9.60001e-41	5.89822e-41	4.46877e-41	1.06829e-38	7.39228e-39	8.72922e-39	7.51876e-39	1.01819e-40	9.83669e-41	1.1057e-40	9.95866e-41	4.20601e-40	3.33671e-40	8.33676e-41	7.77674e-41
300.0	3.66937e-40	3.68272e-40	4.07658e-40	3.73816e-40	3.6508e-40	3.69088e-40	4.07701e-40	3.74161e-40	-2.96497e-40	-2.38236e-40	-3.22115e-40	-2.50226e-40	1.59806e-40	1.11417e-40	6.16803e-41	5.22954e-41	2.26203e-40	1.52425e-40	7.11377e-41	5.89831e-41	1.10452e-38	8.61208e-39	1.06853e-38	8.80135e-39	8.61416e-41	8.92095e-41	1.02484e-40	9.06608e-41	6.49926e-40	5.54587e-40	9.35943e-41	9.29403e-41
400.0	5.72316e-40	5.83092e-40	6.576e-40	5.92811e-40	5.72883e-40	5.83657e-40	6.56395e-40	5.93237e-40	-2.61015e-40	-2.41188e-40	-4.32927e-40	-2.6041e-40	1.97149e-40	1.57607e-40	6.75159e-41	6.19352e-41	3.30411e-40	2.56353e-40	8.20985e-41	7.37697e-41	9.68009e-39	8.44381e-39	1.14843e-38	8.61764e-39	5.80941e-41	6.36685e-41	7.7085e-41	6.48529e-41	1.12747e-39	1.02813e-39	1.00519e-40	1.03676e-40
500.0	7.72443e-40	7.85627e-40	8.89656e-40	7.94569e-40	7.73161e-40	7.86788e-40	8.88745e-40	7.94262e-40	-1.7186e-40	-1.76494e-40	-4.81911e-40	-1.99904e-40	2.08935e-40	1.79039e-40	6.63215e-41	6.30746e-41	4.15138e-40	3.44869e-40	8.43916e-41	7.88065e-41	7.85018e-39	7.22609e-39	1.06502e-38	7.40453e-39	4.02095e-41	4.52117e-41	5.80327e-41	4.6249e-41	1.60397e-39	1.50916e-39	1.00695e-40	1.04841e-40
600.0	9.69499e-40	9.71875e-40	1.10729e-39	9.84698e-40	9.67593e-40	9.75403e-40	1.10746e-39	9.87491e-40	-7.59784e-41	-9.28228e-41	-5.04553e-40	-1.18994e-40	2.07138e-40	1.85024e-40	6.27916e-41	6.06775e-41	4.8258e-40	4.18945e-40	8.29272e-41	7.92075e-41	6.26557e-39	5.97664e-39	9.44764e-39	6.12093e-39	2.92157e-41	3.29249e-41	4.5072e-41	3.37437e-41	2.07284e-39	1.98092e-39	9.90998e-41	1.03142e-40
800.0	1.32079e-39	1.30944e-39	1.49513e-39	1.31737e-39	1.32089e-39	1.30509e-39	1.48909e-39	1.3239e-39	8.37631e-41	6.0387e-41	-5.20738e-40	2.83453e-41	1.86704e-40	1.7534e-40	5.41322e-41	5.35478e-41	5.79895e-40	5.30813e-40	7.59925e-41	7.41785e-41	4.08624e-39	4.0376e-39	7.10028e-39	4.14066e-39	1.69994e-41	1.94876e-41	2.93399e-41	1.96998e-41	2.96627e-39	2.87986e-39	9.4439e-41	9.72903e-41
1000.0	1.60847e-39	1.58727e-39	1.82748e-39	1.59596e-39	1.61387e-39	1.58372e-39	1.82516e-39	1.60164e-39	1.92865e-40	1.68391e-40	-5.32293e-40	1.36978e-40	1.61332e-40	1.55713e-40	4.65396e-41	4.64542e-41	6.42564e-40	6.07368e-40	6.82532e-41	6.74702e-41	2.80701e-39	2.83147e-39	5.34519e-39	2.88789e-39	1.09735e-41	1.27012e-41	2.08159e-41	1.29595e-41	3.81351e-39	3.73861e-39	9.00856e-41	9.18204e-41
2000.0	2.48654e-39	2.42744e-39	2.9001e-39	2.46863e-39	2.50676e-39	2.43771e-39	2.92632e-39	2.44679e-39	3.98904e-40	3.78679e-40	-5.81329e-40	3.44452e-40	7.57686e-41	7.71428e-41	2.61939e-41	2.6342e-41	7.14941e-40	7.15022e-40	4.22034e-41	4.22425e-41	7.66652e-40	7.89395e-40	1.7591e-39	8.05415e-40	2.76739e-42	3.23347e-42	6.39499e-42	3.26283e-42	7.84437e-39	7.78945e-39	7.18452e-41	7.21428e-41
